;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
EDFFBE;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D97)
EDFFBD;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D98)
EDFFBC;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D99)
EDFFBB;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D100)
EDFFBA;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D101)
EDFFB9;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D102)
EDFFB8;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D103)
EDFFB7;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D104)
EDFFB6;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D105)
EDFFB5;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D106)
EDFFB4;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D107)
EDFFB3;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D108)
EDFFB2;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D109)
EDFFB1;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D110)
EDFFB0;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D111)
EDFFAF;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D112)
EDFFAE;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D113)
EDFFAD;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D114)
EDFFAC;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D115)
EDFFAB;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D116)
EDFFAA;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D117)
EDFFA9;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D118)
EDFFA8;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D119)
EDFFA7;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D120)
EDFFA4;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D121)
EDFFA3;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D122)
EDFFA2;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D123)
EDFFA1;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D124)
EDFFA0;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D125)
EDFF9F;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D126)
EDFF9E;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D127)
EDFF9D;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D128)
EDFF9C;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D129)
EDFF9B;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D130)
EDFF9A;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D131)
EDFF99;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D132)
