Handle;Block;Attribute;Matricule;X;Y;Z;Altitude;Delta
'91447;TCPOINT;MAT;1167;1491773,10;3238377,02;43,25;43,25;0,00
'90DCB;TCPOINT;MAT;752;1491633,73;3238499,87;0,00;43,29;43,29
'90EC3;TCPOINT;MAT;814;1491666,65;3238397,90;0,00;43,37;43,37
'9170B;TCPOINT;MAT;1344;1491726,53;3238354,96;0,00;43,38;43,38
'9163B;TCPOINT;MAT;1292;1491746,31;3238367,23;0,00;43,38;43,38
'911C7;TCPOINT;MAT;1007;1491882,54;3238382,21;0,00;43,39;43,39
'9136F;TCPOINT;MAT;1113;1491782,74;3238378,87;43,42;43,42;0,00
'9132F;TCPOINT;MAT;1097;1491778,31;3238379,25;43,43;43,43;0,00
'912B3;TCPOINT;MAT;1066;1491773,35;3238380,27;43,45;43,45;0,00
'90DEF;TCPOINT;MAT;761;1491632,79;3238495,06;0,00;43,47;43,47
'91367;TCPOINT;MAT;1111;1491777,53;3238378,82;43,48;43,48;0,00
'9132B;TCPOINT;MAT;1096;1491773,71;3238379,26;43,48;43,48;0,00
'913A7;TCPOINT;MAT;1127;1491778,07;3238378,27;43,54;43,54;0,00
'916E7;TCPOINT;MAT;1335;1491675,52;3238356,32;0,00;43,56;43,56
'91767;TCPOINT;MAT;1367;1491678,16;3238345,09;0,00;43,57;43,57
'90E83;TCPOINT;MAT;798;1491658,81;3238422,66;0,00;43,58;43,58
'91293;TCPOINT;MAT;1058;1491842,68;3238380,80;43,60;43,60;0,00
'90EF7;TCPOINT;MAT;827;1491666,25;3238392,52;0,00;43,64;43,64
'914AB;TCPOINT;MAT;1192;1491771,34;3238376,05;43,65;43,65;0,00
'91647;TCPOINT;MAT;1295;1491748,13;3238366,42;0,00;43,66;43,66
'91703;TCPOINT;MAT;1342;1491676,77;3238355,17;0,00;43,67;43,67
'9153F;TCPOINT;MAT;1229;1491751,97;3238373,81;43,68;43,68;0,00
'90E5F;TCPOINT;MAT;789;1491656,22;3238425,11;0,00;43,69;43,69
'91483;TCPOINT;MAT;1182;1491784,53;3238376,72;43,72;43,72;0,00
'9174B;TCPOINT;MAT;1360;1491679,97;3238347,11;0,00;43,75;43,75
'9123F;TCPOINT;MAT;1037;1491879,18;3238381,61;0,00;43,77;43,77
'916EF;TCPOINT;MAT;1337;1491676,94;3238355,93;0,00;43,78;43,78
'9185F;TCPOINT;MAT;1429;1491698,01;3238331,35;0,00;43,81;43,81
'91033;TCPOINT;MAT;906;1491845,72;3238385,58;43,81;43,81;0,00
'91407;TCPOINT;MAT;1151;1491817,11;3238377,75;43,84;43,84;0,00
'91723;TCPOINT;MAT;1350;1491677,79;3238350,29;0,00;43,86;43,86
'90F13;TCPOINT;MAT;834;1491666,46;3238391,48;0,00;43,86;43,86
'90DFB;TCPOINT;MAT;764;1491641,19;3238475,28;0,00;43,93;43,93
'911DB;TCPOINT;MAT;1012;1491794,32;3238381,87;43,96;43,96;0,00
'90E9F;TCPOINT;MAT;805;1491656,62;3238420,73;0,00;43,96;43,96
'91757;TCPOINT;MAT;1363;1491677,15;3238346,14;0,00;43,97;43,97
'90E13;TCPOINT;MAT;770;1491638,95;3238473,29;0,00;43,98;43,98
'91637;TCPOINT;MAT;1291;1491747,54;3238367,61;0,00;43,99;43,99
'91787;TCPOINT;MAT;1375;1491706,17;3238342,15;0,00;44,02;44,02
'916FF;TCPOINT;MAT;1341;1491727,52;3238355,40;0,00;44,17;44,17
'9128B;TCPOINT;MAT;1056;1491843,92;3238380,96;44,17;44,17;0,00
'913CF;TCPOINT;MAT;1137;1491780,94;3238378,04;44,18;44,18;0,00
'90E03;TCPOINT;MAT;766;1491642,99;3238474,46;0,00;44,20;44,20
'90E23;TCPOINT;MAT;774;1491639,34;3238471,48;0,00;44,21;44,21
'9178F;TCPOINT;MAT;1377;1491679,98;3238340,31;0,00;44,22;44,22
'9177F;TCPOINT;MAT;1373;1491706,50;3238343,35;0,00;44,22;44,22
'911D3;TCPOINT;MAT;1010;1491774,71;3238381,85;44,22;44,22;0,00
'90EFB;TCPOINT;MAT;828;1491665,26;3238392,29;0,00;44,22;44,22
'90F03;TCPOINT;MAT;830;1491664,47;3238392,07;0,00;44,23;44,23
'90EE7;TCPOINT;MAT;823;1491667,48;3238394,52;0,00;44,23;44,23
'915DB;TCPOINT;MAT;1268;1491747,96;3238370,24;0,00;44,24;44,24
'91363;TCPOINT;MAT;1110;1491774,71;3238378,83;44,26;44,26;0,00
'90DFF;TCPOINT;MAT;765;1491639,97;3238474,52;0,00;44,27;44,27
'91793;TCPOINT;MAT;1378;1491680,22;3238339,71;0,00;44,29;44,29
'90E8B;TCPOINT;MAT;800;1491656,04;3238422,29;0,00;44,31;44,31
'90E07;TCPOINT;MAT;767;1491640,15;3238473,88;0,00;44,32;44,32
'917C3;TCPOINT;MAT;1390;1491700,17;3238336,16;0,00;44,34;44,34
'91727;TCPOINT;MAT;1351;1491676,54;3238349,16;0,00;44,34;44,34
'90EDF;TCPOINT;MAT;821;1491663,09;3238394,87;0,00;44,34;44,34
'90DCF;TCPOINT;MAT;753;1491632,34;3238499,65;0,00;44,38;44,38
'91737;TCPOINT;MAT;1355;1491680,22;3238348,30;0,00;44,43;44,43
'90DA7;TCPOINT;MAT;743;1491631,74;3238505,86;0,00;44,46;44,46
'90EF3;TCPOINT;MAT;826;1491663,86;3238393,71;0,00;44,50;44,50
'913CB;TCPOINT;MAT;1136;1491771,96;3238378,08;44,53;44,53;0,00
'9170F;TCPOINT;MAT;1345;1491728,75;3238354,99;0,00;44,58;44,58
'90E93;TCPOINT;MAT;802;1491656,01;3238421,49;0,00;44,61;44,61
'911BF;TCPOINT;MAT;1005;1491848,53;3238382,18;44,62;44,62;0,00
'912FF;TCPOINT;MAT;1085;1491772,31;3238379,63;44,63;44,63;0,00
'91433;TCPOINT;MAT;1162;1491780,37;3238377,24;44,65;44,65;0,00
'9152F;TCPOINT;MAT;1225;1491771,52;3238374,23;44,69;44,69;0,00
'90E2B;TCPOINT;MAT;776;1491642,37;3238470,89;0,00;44,69;44,69
'90E1B;TCPOINT;MAT;772;1491640,58;3238472,26;0,00;44,69;44,69
'9172B;TCPOINT;MAT;1352;1491677,97;3238349,13;0,00;44,72;44,72
'90E0B;TCPOINT;MAT;768;1491640,77;3238473,65;0,00;44,77;44,77
'90E27;TCPOINT;MAT;775;1491641,57;3238471,28;0,00;44,78;44,78
'91733;TCPOINT;MAT;1354;1491676,15;3238348,31;0,00;44,79;44,79
'9114F;TCPOINT;MAT;977;1491817,12;3238382,93;44,79;44,79;0,00
'90DE7;TCPOINT;MAT;759;1491635,11;3238497,25;0,00;44,79;44,79
'90E7F;TCPOINT;MAT;797;1491656,88;3238422,90;0,00;44,81;44,81
'90E9B;TCPOINT;MAT;804;1491654,46;3238421,09;0,00;44,85;44,85
'90E8F;TCPOINT;MAT;801;1491658,43;3238421,67;0,00;44,86;44,86
'9182B;TCPOINT;MAT;1416;1491680,63;3238332,37;0,00;44,90;44,90
'9173B;TCPOINT;MAT;1356;1491678,56;3238348,12;0,00;44,91;44,91
'9186B;TCPOINT;MAT;1432;1491698,78;3238330,96;0,00;44,94;44,94
'9172F;TCPOINT;MAT;1353;1491679,31;3238348,69;0,00;44,95;44,95
'91243;TCPOINT;MAT;1038;1491881,14;3238381,60;0,00;44,95;44,95
'90E1F;TCPOINT;MAT;773;1491642,72;3238471,85;0,00;44,95;44,95
'90E0F;TCPOINT;MAT;769;1491641,97;3238473,49;0,00;44,95;44,95
'9183F;TCPOINT;MAT;1421;1491698,96;3238331,75;0,00;44,99;44,99
'914AF;TCPOINT;MAT;1193;1491776,95;3238376,06;45,01;45,01;0,00
'90EDB;TCPOINT;MAT;820;1491665,49;3238395,69;0,00;45,03;45,03
'90E97;TCPOINT;MAT;803;1491657,44;3238421,26;0,00;45,04;45,04
'91743;TCPOINT;MAT;1358;1491677,96;3238347,48;0,00;45,06;45,06
'90EA7;TCPOINT;MAT;807;1491658,50;3238419,94;0,00;45,06;45,06
'915E3;TCPOINT;MAT;1270;1491751,95;3238369,82;0,00;45,10;45,10
'9131F;TCPOINT;MAT;1093;1491820,78;3238379,50;45,10;45,10;0,00
'9157B;TCPOINT;MAT;1244;1491769,69;3238372,45;45,11;45,11;0,00
'915EB;TCPOINT;MAT;1272;1491748,94;3238369,39;0,00;45,16;45,16
'90EA3;TCPOINT;MAT;806;1491657,64;3238420,47;0,00;45,16;45,16
'9185B;TCPOINT;MAT;1428;1491693,40;3238331,33;0,00;45,17;45,17
'917AB;TCPOINT;MAT;1384;1491706,96;3238337,17;0,00;45,19;45,19
'91747;TCPOINT;MAT;1359;1491678,58;3238347,47;0,00;45,20;45,20
'915C3;TCPOINT;MAT;1262;1491750,16;3238370,65;0,00;45,29;45,29
'90E17;TCPOINT;MAT;771;1491641,99;3238472,52;0,00;45,31;45,31
'918A7;TCPOINT;MAT;1447;1491695,97;3238328,93;0,00;45,33;45,33
'90DA3;TCPOINT;MAT;742;1491631,10;3238507,48;0,00;45,33;45,33
'91583;TCPOINT;MAT;1246;1491750,49;3238372,22;0,00;45,34;45,34
'913D3;TCPOINT;MAT;1138;1491820,15;3238378,14;45,35;45,35;0,00
'9160F;TCPOINT;MAT;1281;1491747,95;3238368,38;0,00;45,40;45,40
'917FF;TCPOINT;MAT;1405;1491683,61;3238333,15;0,00;45,46;45,46
'916DF;TCPOINT;MAT;1333;1491725,18;3238356,57;0,00;45,46;45,46
'911B7;TCPOINT;MAT;1003;1491821,14;3238382,10;45,47;45,47;0,00
'90DDB;TCPOINT;MAT;756;1491631,54;3238498,27;0,00;45,53;45,53
'9125B;TCPOINT;MAT;1044;1491820,90;3238381,31;45,58;45,58;0,00
'917A7;TCPOINT;MAT;1383;1491702,37;3238337,14;0,00;45,61;45,61
'9142F;TCPOINT;MAT;1161;1491776,56;3238377,28;45,62;45,62;0,00
'90DDF;TCPOINT;MAT;757;1491633,95;3238498,08;0,00;45,65;45,65
'914C3;TCPOINT;MAT;1198;1491768,32;3238375,80;45,66;45,66;0,00
'90FE7;TCPOINT;MAT;887;1491856,95;3238386,40;45,69;45,69;0,00
'917BF;TCPOINT;MAT;1389;1491702,34;3238336,32;0,00;45,70;45,70
'9144B;TCPOINT;MAT;1168;1491775,55;3238377,04;45,72;45,72;0,00
'90DD7;TCPOINT;MAT;755;1491632,79;3238498,50;0,00;45,72;45,72
'9159F;TCPOINT;MAT;1253;1491756,95;3238371,67;45,73;45,73;0,00
'9135F;TCPOINT;MAT;1109;1491762,71;3238378,85;45,75;45,75;0,00
'9179F;TCPOINT;MAT;1381;1491704,59;3238337,34;0,00;45,83;45,83
'912E7;TCPOINT;MAT;1079;1491793,38;3238379,91;45,91;45,91;0,00
'9147F;TCPOINT;MAT;1181;1491767,32;3238376,63;45,96;45,96;0,00
'917DF;TCPOINT;MAT;1397;1491708,19;3238335,14;0,00;45,99;45,99
'91827;TCPOINT;MAT;1415;1491682,44;3238332,50;0,00;46,05;46,05
'915E7;TCPOINT;MAT;1271;1491753,14;3238369,81;46,09;46,09;0,00
'9141F;TCPOINT;MAT;1157;1491758,77;3238377,44;46,09;46,09;0,00
'916EB;TCPOINT;MAT;1336;1491725,78;3238356,35;0,00;46,11;46,11
'9143B;TCPOINT;MAT;1164;1491812,54;3238377,37;46,11;46,11;0,00
'915C7;TCPOINT;MAT;1263;1491752,17;3238370,60;46,25;46,25;0,00
'9187B;TCPOINT;MAT;1436;1491705,97;3238330,58;0,00;46,27;46,27
'914D7;TCPOINT;MAT;1203;1491769,30;3238375,64;46,28;46,28;0,00
'913C3;TCPOINT;MAT;1134;1491762,93;3238378,01;46,28;46,28;0,00
'917AF;TCPOINT;MAT;1385;1491707,79;3238337,13;0,00;46,29;46,29
'913E7;TCPOINT;MAT;1143;1491765,72;3238377,86;46,29;46,29;0,00
'9126F;TCPOINT;MAT;1049;1491771,93;3238381,00;46,29;46,29;0,00
'917BB;TCPOINT;MAT;1388;1491707,57;3238336,58;0,00;46,32;46,32
'911AB;TCPOINT;MAT;1000;1491778,92;3238382,04;46,33;46,33;0,00
'917D3;TCPOINT;MAT;1394;1491700,14;3238335,32;0,00;46,34;46,34
'9161F;TCPOINT;MAT;1285;1491743,31;3238368,19;0,00;46,34;46,34
'91597;TCPOINT;MAT;1251;1491753,93;3238371,83;46,38;46,38;0,00
'91233;TCPOINT;MAT;1034;1491861,16;3238381,61;46,39;46,39;0,00
'91453;TCPOINT;MAT;1170;1491813,18;3238377,12;46,43;46,43;0,00
'917B7;TCPOINT;MAT;1387;1491703,99;3238336,57;0,00;46,52;46,52
'91327;TCPOINT;MAT;1095;1491767,92;3238379,23;46,55;46,55;0,00
'9146B;TCPOINT;MAT;1176;1491764,74;3238376,83;46,60;46,60;0,00
'913C7;TCPOINT;MAT;1135;1491768,09;3238378,08;46,60;46,60;0,00
'9139F;TCPOINT;MAT;1125;1491764,29;3238378,48;46,65;46,65;0,00
'914E3;TCPOINT;MAT;1206;1491762,55;3238375,48;46,74;46,74;0,00
'917C7;TCPOINT;MAT;1391;1491705,75;3238335,93;0,00;46,81;46,81
'91633;TCPOINT;MAT;1290;1491741,39;3238367,59;0,00;46,83;46,83
'91643;TCPOINT;MAT;1294;1491764,54;3238366,81;46,84;46,84;0,00
'91603;TCPOINT;MAT;1278;1491745,96;3238368,99;0,00;46,84;46,84
'913FB;TCPOINT;MAT;1148;1491785,78;3238377,68;46,84;46,84;0,00
'917F7;TCPOINT;MAT;1403;1491700,56;3238333,77;0,00;46,97;46,97
'91297;TCPOINT;MAT;1059;1491845,78;3238380,78;46,98;46,98;0,00
'9121F;TCPOINT;MAT;1029;1491823,10;3238381,54;46,98;46,98;0,00
'91883;TCPOINT;MAT;1438;1491703,79;3238330,40;0,00;46,99;46,99
'91843;TCPOINT;MAT;1422;1491700,60;3238331,77;0,00;47,00;47,00
'9151F;TCPOINT;MAT;1221;1491760,98;3238374,39;47,02;47,02;0,00
'9130B;TCPOINT;MAT;1088;1491845,76;3238379,81;47,02;47,02;0,00
'9180B;TCPOINT;MAT;1408;1491699,98;3238333,09;0,00;47,05;47,05
'9187F;TCPOINT;MAT;1437;1491702,40;3238330,40;0,00;47,07;47,07
'9144F;TCPOINT;MAT;1169;1491790,74;3238377,04;47,07;47,07;0,00
'915AF;TCPOINT;MAT;1257;1491749,12;3238371,43;0,00;47,13;47,13
'91267;TCPOINT;MAT;1047;1491852,14;3238381,41;47,13;47,13;0,00
'9148F;TCPOINT;MAT;1185;1491759,17;3238376,43;47,15;47,15;0,00
'9120B;TCPOINT;MAT;1024;1491778,78;3238381,43;47,18;47,18;0,00
'9122B;TCPOINT;MAT;1032;1491853,12;3238381,59;47,20;47,20;0,00
'9184F;TCPOINT;MAT;1425;1491704,41;3238331,50;0,00;47,21;47,21
'915F7;TCPOINT;MAT;1275;1491750,54;3238369,20;0,00;47,22;47,22
'9127F;TCPOINT;MAT;1053;1491847,38;3238381,17;47,22;47,22;0,00
'9154F;TCPOINT;MAT;1233;1491761,30;3238373,64;47,28;47,28;0,00
'91813;TCPOINT;MAT;1410;1491706,18;3238333,17;0,00;47,29;47,29
'917E3;TCPOINT;MAT;1398;1491706,58;3238334,80;0,00;47,29;47,29
'91553;TCPOINT;MAT;1234;1491769,72;3238373,68;47,29;47,29;0,00
'914DF;TCPOINT;MAT;1205;1491847,90;3238375,77;47,30;47,30;0,00
'917DB;TCPOINT;MAT;1396;1491704,61;3238335,16;0,00;47,32;47,32
'91227;TCPOINT;MAT;1031;1491848,30;3238381,59;47,36;47,36;0,00
'91587;TCPOINT;MAT;1247;1491755,38;3238372,22;47,39;47,39;0,00
'91823;TCPOINT;MAT;1414;1491701,59;3238332,74;0,00;47,40;47,40
'91623;TCPOINT;MAT;1286;1491758,97;3238368,22;47,41;47,41;0,00
'9163F;TCPOINT;MAT;1293;1491741,74;3238366,96;0,00;47,42;47,42
'910CF;TCPOINT;MAT;945;1491785,77;3238383,87;47,43;47,43;0,00
'9129B;TCPOINT;MAT;1060;1491848,11;3238380,79;47,44;47,44;0,00
'9184B;TCPOINT;MAT;1424;1491702,57;3238331,53;0,00;47,45;47,45
'911EF;TCPOINT;MAT;1017;1491846,36;3238381,99;47,47;47,47;0,00
'91443;TCPOINT;MAT;1166;1491761,50;3238377,07;47,50;47,50;0,00
'9189F;TCPOINT;MAT;1445;1491693,19;3238329,55;0,00;47,53;47,53
'9140F;TCPOINT;MAT;1153;1491842,92;3238377,78;47,56;47,56;0,00
'913B7;TCPOINT;MAT;1131;1491847,14;3238378,37;47,56;47,56;0,00
'912C3;TCPOINT;MAT;1070;1491874,52;3238380,36;0,00;47,62;47,62
'917D7;TCPOINT;MAT;1395;1491703,64;3238335,17;0,00;47,63;47,63
'913EF;TCPOINT;MAT;1145;1491847,98;3238378,00;47,63;47,63;0,00
'911EB;TCPOINT;MAT;1016;1491845,28;3238381,95;47,63;47,63;0,00
'917CF;TCPOINT;MAT;1393;1491706,62;3238335,75;0,00;47,64;47,64
'91487;TCPOINT;MAT;1183;1491845,92;3238376,82;47,73;47,73;0,00
'914FB;TCPOINT;MAT;1212;1491758,14;3238375,24;47,78;47,78;0,00
'9162F;TCPOINT;MAT;1289;1491765,53;3238367,87;47,79;47,79;0,00
'90F6F;TCPOINT;MAT;857;1491805,33;3238387,69;47,79;47,79;0,00
'91617;TCPOINT;MAT;1283;1491759,71;3238368,39;47,80;47,80;0,00
'917EF;TCPOINT;MAT;1401;1491688,35;3238333,93;0,00;47,82;47,82
'913D7;TCPOINT;MAT;1139;1491844,76;3238378,14;47,82;47,82;0,00
'91897;TCPOINT;MAT;1443;1491693,78;3238329,71;0,00;47,86;47,86
'910E7;TCPOINT;MAT;951;1491856,12;3238383,98;47,88;47,88;0,00
'915CB;TCPOINT;MAT;1264;1491754,30;3238370,63;47,90;47,90;0,00
'9141B;TCPOINT;MAT;1156;1491756,93;3238377,44;47,91;47,91;0,00
'91423;TCPOINT;MAT;1158;1491760,17;3238377,46;47,92;47,92;0,00
'918B3;TCPOINT;MAT;1450;1491693,75;3238328,56;0,00;47,93;47,93
'9143F;TCPOINT;MAT;1165;1491850,20;3238377,37;47,94;47,94;0,00
'9180F;TCPOINT;MAT;1409;1491705,00;3238333,10;0,00;47,96;47,96
'91073;TCPOINT;MAT;922;1491856,13;3238384,98;47,96;47,96;0,00
'914F7;TCPOINT;MAT;1211;1491755,29;3238375,25;47,97;47,97;0,00
'91467;TCPOINT;MAT;1175;1491843,12;3238377,17;47,97;47,97;0,00
'9149B;TCPOINT;MAT;1188;1491755,94;3238376,21;47,98;47,98;0,00
'918C3;TCPOINT;MAT;1454;1491693,57;3238327,74;0,00;48,00;48,00
'912FB;TCPOINT;MAT;1084;1491859,70;3238379,98;48,00;48,00;0,00
'914BF;TCPOINT;MAT;1197;1491760,52;3238375,83;48,04;48,04;0,00
'918AF;TCPOINT;MAT;1449;1491695,17;3238328,74;0,00;48,09;48,09
'91493;TCPOINT;MAT;1186;1491843,99;3238376,54;48,14;48,14;0,00
'9124B;TCPOINT;MAT;1040;1491785,56;3238381,25;48,14;48,14;0,00
'90FCF;TCPOINT;MAT;881;1491814,32;3238386,47;48,17;48,17;0,00
'914F3;TCPOINT;MAT;1210;1491843,74;3238375,52;48,20;48,20;0,00
'911FB;TCPOINT;MAT;1020;1491792,31;3238381,64;48,21;48,21;0,00
'9119F;TCPOINT;MAT;997;1491855,92;3238382,41;48,22;48,22;0,00
'9119B;TCPOINT;MAT;996;1491855,12;3238382,33;48,22;48,22;0,00
'918CF;TCPOINT;MAT;1457;1491694,38;3238327,34;0,00;48,23;48,23
'914CF;TCPOINT;MAT;1201;1491844,53;3238375,95;48,25;48,25;0,00
'9148B;TCPOINT;MAT;1184;1491756,94;3238376,40;48,25;48,25;0,00
'917E7;TCPOINT;MAT;1399;1491704,80;3238334,55;0,00;48,31;48,31
'914A3;TCPOINT;MAT;1190;1491808,55;3238376,32;48,32;48,32;0,00
'91273;TCPOINT;MAT;1050;1491792,92;3238381,05;48,33;48,33;0,00
'91197;TCPOINT;MAT;995;1491814,73;3238382,26;48,33;48,33;0,00
'911F3;TCPOINT;MAT;1018;1491784,74;3238381,63;48,34;48,34;0,00
'91563;TCPOINT;MAT;1238;1491755,12;3238373,43;48,38;48,38;0,00
'915FF;TCPOINT;MAT;1277;1491767,76;3238369,24;48,40;48,40;0,00
'914D3;TCPOINT;MAT;1202;1491856,78;3238375,99;48,40;48,40;0,00
'9151B;TCPOINT;MAT;1220;1491756,92;3238374,45;48,41;48,41;0,00
'90F17;TCPOINT;MAT;835;1491832,74;3238391,51;48,48;48,48;0,00
'90F9B;TCPOINT;MAT;868;1491859,72;3238387,39;48,49;48,49;0,00
'912CF;TCPOINT;MAT;1073;1491852,39;3238380,18;48,56;48,56;0,00
'90FB3;TCPOINT;MAT;874;1491804,93;3238386,92;48,59;48,59;0,00
'9158B;TCPOINT;MAT;1248;1491759,32;3238372,22;48,63;48,63;0,00
'91343;TCPOINT;MAT;1102;1491852,33;3238379,36;48,63;48,63;0,00
'9155F;TCPOINT;MAT;1237;1491753,15;3238373,41;48,65;48,65;0,00
'90FEB;TCPOINT;MAT;888;1491790,15;3238386,09;48,74;48,74;0,00
'9150F;TCPOINT;MAT;1217;1491763,91;3238374,85;48,78;48,78;0,00
'9168F;TCPOINT;MAT;1313;1491728,97;3238360,39;0,00;48,79;48,79
'915EF;TCPOINT;MAT;1273;1491761,94;3238369,46;48,79;48,79;0,00
'9139B;TCPOINT;MAT;1124;1491854,35;3238378,79;48,85;48,85;0,00
'9128F;TCPOINT;MAT;1057;1491854,91;3238380,95;48,85;48,85;0,00
'9160B;TCPOINT;MAT;1280;1491763,91;3238368,64;48,97;48,97;0,00
'913F3;TCPOINT;MAT;1146;1491854,94;3238377,94;48,98;48,98;0,00
'915FB;TCPOINT;MAT;1276;1491760,94;3238369,25;48,99;48,99;0,00
'91607;TCPOINT;MAT;1279;1491762,94;3238368,65;49,00;49,00;0,00
'90FF3;TCPOINT;MAT;890;1491813,53;3238386,14;49,00;49,00;0,00
'9156F;TCPOINT;MAT;1241;1491751,34;3238372,56;0,00;49,02;49,02
'9142B;TCPOINT;MAT;1160;1491853,33;3238377,62;49,06;49,06;0,00
'915B7;TCPOINT;MAT;1259;1491761,17;3238370,83;49,07;49,07;0,00
'91497;TCPOINT;MAT;1187;1491853,53;3238376,58;49,07;49,07;0,00
'918A3;TCPOINT;MAT;1446;1491681,57;3238329,31;0,00;49,16;49,16
'91427;TCPOINT;MAT;1159;1491851,32;3238377,56;49,16;49,16;0,00
'913DB;TCPOINT;MAT;1140;1491852,15;3238378,16;49,17;49,17;0,00
'910CB;TCPOINT;MAT;944;1491874,35;3238384,23;0,00;49,19;49,19
'91257;TCPOINT;MAT;1043;1491815,11;3238381,29;49,24;49,24;0,00
'91323;TCPOINT;MAT;1094;1491855,38;3238379,57;49,30;49,30;0,00
'9117F;TCPOINT;MAT;989;1491813,33;3238382,48;49,33;49,33;0,00
'915D3;TCPOINT;MAT;1266;1491765,71;3238370,44;49,34;49,34;0,00
'91573;TCPOINT;MAT;1242;1491765,74;3238372,64;49,40;49,40;0,00
'915B3;TCPOINT;MAT;1258;1491764,33;3238371,46;49,41;49,41;0,00
'91853;TCPOINT;MAT;1426;1491680,74;3238331,32;0,00;49,50;49,50
'915CF;TCPOINT;MAT;1265;1491763,54;3238370,45;49,50;49,50;0,00
'915BB;TCPOINT;MAT;1260;1491766,97;3238370,84;49,55;49,55;0,00
'91373;TCPOINT;MAT;1114;1491791,55;3238378,89;49,58;49,58;0,00
'913BB;TCPOINT;MAT;1132;1491873,92;3238378,36;0,00;49,61;49,61
'915A3;TCPOINT;MAT;1254;1491765,36;3238371,65;49,63;49,63;0,00
'9122F;TCPOINT;MAT;1033;1491857,35;3238381,58;49,63;49,63;0,00
'91053;TCPOINT;MAT;914;1491814,10;3238385,15;49,63;49,63;0,00
'9106F;TCPOINT;MAT;921;1491814,95;3238384,95;49,69;49,69;0,00
'91543;TCPOINT;MAT;1230;1491763,34;3238373,81;49,74;49,74;0,00
'918EF;TCPOINT;MAT;1465;1491692,41;3238325,77;0,00;49,77;49,77
'910C7;TCPOINT;MAT;943;1491815,37;3238384,12;49,77;49,77;0,00
'910D7;TCPOINT;MAT;947;1491791,34;3238383,84;49,78;49,78;0,00
'910AF;TCPOINT;MAT;937;1491859,95;3238384,38;49,84;49,84;0,00
'9133F;TCPOINT;MAT;1101;1491842,58;3238379,36;49,85;49,85;0,00
'911C3;TCPOINT;MAT;1006;1491858,35;3238382,20;49,94;49,94;0,00
'91477;TCPOINT;MAT;1179;1491871,56;3238377,05;0,00;49,98;49,98
'91037;TCPOINT;MAT;907;1491857,75;3238385,53;49,98;49,98;0,00
'91253;TCPOINT;MAT;1042;1491813,52;3238381,29;50,02;50,02;0,00
'90EFF;TCPOINT;MAT;829;1491827,51;3238392,54;50,08;50,08;0,00
'91313;TCPOINT;MAT;1090;1491786,69;3238379,45;50,11;50,11;0,00
'91577;TCPOINT;MAT;1243;1491763,74;3238372,43;50,12;50,12;0,00
'910AB;TCPOINT;MAT;936;1491857,53;3238384,40;50,14;50,14;0,00
'90F0B;TCPOINT;MAT;832;1491830,89;3238392,15;50,25;50,25;0,00
'9103B;TCPOINT;MAT;908;1491859,10;3238385,60;50,31;50,31;0,00
'9112F;TCPOINT;MAT;969;1491859,98;3238383,38;50,32;50,32;0,00
'910C3;TCPOINT;MAT;942;1491813,29;3238384,11;50,38;50,38;0,00
'90F37;TCPOINT;MAT;843;1491811,47;3238389,50;50,39;50,39;0,00
'90F2F;TCPOINT;MAT;841;1491806,71;3238389,67;50,50;50,50;0,00
'9115B;TCPOINT;MAT;980;1491786,14;3238382,69;50,61;50,61;0,00
'91417;TCPOINT;MAT;1155;1491870,16;3238377,80;0,00;50,69;50,69
'90F87;TCPOINT;MAT;863;1491805,92;3238387,28;50,78;50,78;0,00
'90F47;TCPOINT;MAT;847;1491810,13;3238388,67;50,78;50,78;0,00
'9129F;TCPOINT;MAT;1061;1491810,96;3238380,48;50,81;50,81;0,00
'91817;TCPOINT;MAT;1411;1491687,79;3238332,96;0,00;50,91;50,91
'91903;TCPOINT;MAT;1470;1491693,42;3238324,16;0,00;51,01;51,01
'9182F;TCPOINT;MAT;1417;1491685,97;3238332,34;0,00;51,09;51,09
'910BB;TCPOINT;MAT;940;1491786,74;3238384,08;51,16;51,16;0,00
'910A3;TCPOINT;MAT;934;1491823,14;3238384,34;51,31;51,31;0,00
'913FF;TCPOINT;MAT;1149;1491796,32;3238377,64;51,34;51,34;0,00
'91087;TCPOINT;MAT;927;1491788,53;3238384,48;51,37;51,37;0,00
'911AF;TCPOINT;MAT;1001;1491787,13;3238382,06;51,43;51,43;0,00
'910D3;TCPOINT;MAT;946;1491787,29;3238383,89;51,49;51,49;0,00
'90F43;TCPOINT;MAT;846;1491840,33;3238389,14;51,50;51,50;0,00
'90F57;TCPOINT;MAT;851;1491839,71;3238388,55;51,60;51,60;0,00
'911A7;TCPOINT;MAT;999;1491874,76;3238382,45;0,00;51,61;51,61
'9113F;TCPOINT;MAT;973;1491810,31;3238383,12;51,61;51,61;0,00
'90F2B;TCPOINT;MAT;840;1491832,73;3238389,93;51,66;51,66;0,00
'91833;TCPOINT;MAT;1418;1491688,42;3238332,31;0,00;51,72;51,72
'9189B;TCPOINT;MAT;1444;1491682,39;3238329,49;0,00;51,75;51,75
'9112B;TCPOINT;MAT;968;1491840,55;3238383,36;51,81;51,81;0,00
'90F23;TCPOINT;MAT;838;1491834,69;3238390,12;51,93;51,93;0,00
'91047;TCPOINT;MAT;911;1491811,48;3238385,33;51,99;51,99;0,00
